#{"t_start": 1770583015.146034, "env_id": "None"}
r,l,t
-42.17702,500,15.654884
-37.705063,500,15.654969
-38.405914,500,15.655028
-55.55575,500,15.655068
-51.61305,500,30.420726
-31.034586,500,30.420804
-66.66678,500,30.420834
-39.50199,500,30.420856
-40.994,500,46.053481
-47.826283,500,46.053556
-67.84576,500,46.053584
-45.33782,500,46.053607
-31.654755,500,60.642532
-69.419044,500,60.642596
-38.356297,500,60.642623
-36.877205,500,60.642646
-63.768276,500,86.505985
-20.634878,500,86.506054
-45.122154,500,86.506082
-62.643852,500,86.506105
-46.236645,500,101.134704
-33.333363,500,101.134776
-32.926857,500,101.134805
-56.521873,500,101.134828
-45.946037,500,115.811871
-32.14288,500,115.811936
-30.657053,500,115.811965
-24.242432,500,115.816019
-63.370117,500,130.51239
-33.33344,500,130.512434
-17.857187,500,130.51245
-30.463652,500,130.512463
-21.052732,500,156.107111
-62.71203,500,156.107154
-36.170258,500,156.107171
-14.473649,500,156.107183
-43.708706,500,170.687027
-32.624146,500,170.687067
-68.85821,500,170.687083
-61.783585,500,170.687095
-70.00008,500,185.496129
-29.078058,500,185.496172
-27.215284,500,185.496188
-56.250114,500,185.496201
-63.576317,500,201.235803
-43.060555,500,201.235848
-30.79591,500,201.235864
-59.409744,500,201.235877
-26.73994,500,226.001447
-51.298794,500,226.001488
-56.810783,500,226.001504
-78.102135,500,226.001517
1.3986268,500,239.185497
-24.590143,500,239.185539
-53.068718,500,239.185569
-25.423738,500,239.185581
-50.00013,500,252.472703
-58.763016,500,252.472744
-66.41802,500,252.47276
-83.44357,500,252.472773
-32.88592,500,266.287899
-36.508003,500,266.287937
-26.056353,500,266.287953
-13.494754,500,266.287965
-58.506344,500,288.793259
-18.287926,500,288.793299
-66.463524,500,288.793315
-74.999985,500,288.793327
-10.714228,500,301.835032
-55.63154,500,301.835072
-34.37502,500,301.835088
-39.393993,500,301.8351
-59.18382,500,315.778091
-24.73115,500,315.778133
-30.769255,500,315.778149
-32.659977,500,315.778162
-55.017414,500,330.503774
-56.923214,500,330.503822
-68.53155,500,330.503838
-47.88287,500,330.503851
-50.35469,500,355.145432
-53.02026,500,355.145482
-19.540241,500,355.145498
-45.94602,500,355.14551
-41.896072,500,370.388553
-42.176956,500,370.388621
-30.091211,500,370.388639
-36.026997,500,370.388652
-42.943027,500,386.628178
-54.70394,500,386.62822
-40.625065,500,386.628236
-33.110382,500,386.628248
-46.128017,500,401.091103
-46.708603,500,401.091149
-46.541023,500,401.091165
-52.054893,500,401.091177
-42.30783,500,429.629014
-69.28335,500,429.629063
-64.664444,500,429.629078
-36.6667,500,429.629091
-28.802616,500,445.281876
-18.6048,500,445.281921
-56.772488,500,445.281938
-17.968714,500,445.28195
-29.88932,500,459.33536
-6.4515347,500,459.335401
-41.58084,500,459.335417
-62.58517,500,459.33543
-21.708176,500,473.497886
-29.293037,500,473.497926
-33.79793,500,473.497942
-50.657993,500,473.497955
-23.357666,500,500.416182
28.289452,500,500.416225
66.66679,500,500.416241
-44.26236,500,500.416253
66.66671,500,515.381818
-28.315392,500,515.381872
59.850998,500,515.38189
0.35843408,500,515.381903
22.676357,500,531.368638
-25.925915,500,531.368686
-37.10701,500,531.368703
-27.335724,500,531.368716
-16.967674,500,548.171375
0.6711782,500,548.171417
-32.51534,500,548.171434
-30.795866,500,548.171446
54.0879,500,575.772943
-30.463707,500,575.772986
28.787663,500,575.773002
-25.324657,500,575.773015
24.99984,500,590.62528
-28.057707,500,590.625324
-58.333477,500,590.62534
-29.57753,500,590.625353
-72.97299,500,604.63498
-57.446995,500,604.635024
-6.8966966,500,604.635041
-10.891031,500,604.635053
-18.819275,500,621.219752
79.48728,500,621.219795
-36.39591,500,621.219811
-28.302046,500,621.219824
78.21778,500,648.670486
-25.675795,500,648.670528
29.999973,500,648.670544
-29.765953,500,648.670557
-44.927628,500,662.529305
-18.60483,500,662.52935
-38.11083,500,662.529367
63.043194,500,662.52938
-0.00021734535,500,676.137282
-25.795233,500,676.137325
-5.8825793,500,676.137384
25.850422,500,676.137403
-38.775684,500,692.921918
-59.559006,500,692.92197
58.24931,500,692.921986
-55.326565,500,692.921999
36.029175,500,720.875508
-42.598293,500,720.875553
-26.666786,500,720.875569
-57.055393,500,720.875581
149.07117,500,734.721842
9.928851,500,734.721885
-18.300814,500,734.721901
-38.35632,500,734.721914
93.66248,500,748.38353
-41.580944,500,748.38358
-25.926104,500,748.383596
44.366695,500,748.383608
-37.500195,500,764.568844
-37.50017,500,764.568886
-34.306755,500,764.568902
-25.781443,500,764.568916
-63.636513,500,781.3924
-34.984657,500,781.392445
31.832554,500,781.392462
-40.81015,500,781.392475
-33.99357,500,806.587257
-77.848045,500,806.5873
143.33372,500,806.587316
-21.233027,500,806.587329
85.5678,500,821.04361
22.03358,500,821.043656
100.00016,500,821.043673
108.609344,500,821.043686
55.76297,500,836.815104
-26.910496,500,836.815147
43.83561,500,836.815163
38.982983,500,836.815176
-27.798035,500,852.115217
23.01595,500,852.115262
-26.829432,500,852.115278
43.859665,500,852.115291
43.81254,500,876.821406
-27.83523,500,876.821448
67.74282,500,876.821464
86.8859,500,876.821476
60.305927,500,892.092611
-5.4547896,500,892.092654
22.033627,500,892.092671
15.253929,500,892.092684
47.65143,500,908.89466
51.419304,500,908.894701
-25.926092,500,908.894717
97.84177,500,908.894729
23.134056,500,925.050527
-32.907536,500,925.050568
64.17983,500,925.050585
15.624712,500,925.050597
41.84425,500,948.52751
97.18331,500,948.52755
52.727848,500,948.527565
33.75772,500,948.527578
69.742165,500,961.623395
64.12285,500,961.623435
-26.910482,500,961.623451
127.84854,500,961.623463
51.944202,500,976.125138
4.651208,500,976.12518
75.8627,500,976.125195
-22.118473,500,976.125208
-61.90493,500,990.865914
-31.972956,500,990.865956
110.52656,500,990.865972
80.685684,500,990.865984
39.78483,500,1017.177066
102.79717,500,1017.177115
45.161983,500,1017.177132
34.79591,500,1017.177145
78.69478,500,1033.292311
152.36656,500,1033.292354
118.63869,500,1033.29237
-28.338911,500,1033.292383
-22.330267,500,1049.930452
22.186478,500,1049.930495
178.52446,500,1049.930511
154.23813,500,1049.930524
84.31453,500,1066.589077
110.52658,500,1066.589123
-26.282225,500,1066.589139
85.31489,500,1066.589152
69.435036,500,1091.287247
161.90506,500,1091.28729
62.251373,500,1091.287306
206.66751,500,1091.287319
38.88925,500,1104.545997
94.03082,500,1104.54604
157.14374,500,1104.546056
108.09283,500,1104.546069
37.254807,500,1117.930136
148.25285,500,1117.930175
-61.26778,500,1117.930191
36.66657,500,1117.930205
107.66824,500,1132.470929
79.93137,500,1132.470969
63.691124,500,1132.470986
-4.580302,500,1132.470999
170.27132,500,1157.277972
55.798027,500,1157.278014
-54.063793,500,1157.27803
171.24272,500,1157.278043
41.06638,500,1171.785257
-26.751768,500,1171.785298
123.33381,500,1171.785315
234.48369,500,1171.785327
217.40695,500,1185.348586
111.726685,500,1185.348626
252.11333,500,1185.348642
76.26013,500,1185.348655
-35.065117,500,1198.688393
150.00092,500,1198.688435
28.571701,500,1198.688452
-23.636553,500,1198.688464
83.54524,500,1225.194214
147.38744,500,1225.194255
-40.52065,500,1225.194271
221.0341,500,1225.194284
134.11446,500,1238.601109
-8.832101,500,1238.60115
260.2947,500,1238.601166
233.3344,500,1238.601179
245.19656,500,1256.44744
59.011547,500,1256.44748
139.8655,500,1256.447496
-19.254793,500,1256.447508
