#{"t_start": 1770500331.618574, "env_id": "None"}
r,l,t
-53.4046,1000,22.592778
-59.37452,1000,22.592878
-56.375385,1000,22.592911
-56.24954,1000,22.592936
-45.94563,1000,43.423651
-38.697342,1000,43.423748
-41.391754,1000,43.423779
-44.444218,1000,43.423801
-46.66646,1000,63.690958
-40.350864,1000,63.691031
-49.253418,1000,63.691059
-34.782696,1000,63.691082
-35.48384,1000,85.667593
-31.034683,1000,85.66766
-39.28572,1000,85.667688
-33.139725,1000,85.66771
-30.327988,1000,105.966602
-65.908676,1000,105.966678
-54.397182,1000,105.966707
-37.499912,1000,105.966729
-47.18279,1000,126.956175
-53.642128,1000,126.956259
-17.241375,1000,126.956288
-33.110466,1000,126.956312
-26.66673,1000,147.465349
-62.837334,1000,147.469502
-33.08552,1000,147.469554
-2.723677,1000,147.469572
-11.660782,1000,167.713474
-64.17869,1000,167.713516
-19.463118,1000,167.713533
-30.07001,1000,167.713545
-38.775513,1000,188.653296
-39.285664,1000,188.653339
-67.42623,1000,188.653355
-22.818804,1000,188.653367
-50.177727,1000,209.311663
-44.237785,1000,209.311721
-32.66004,1000,209.31174
-40.199154,1000,209.311754
-50.17773,1000,229.770387
-15.309702,1000,229.770437
-10.78064,1000,229.770455
29.411587,1000,229.770468
11.96894,1000,250.064574
-10.493782,1000,250.064628
-3.7801435,1000,250.064658
-40.39728,1000,250.064679
-30.232681,1000,271.212354
-37.125736,1000,271.212411
-30.379965,1000,271.212429
19.40269,1000,271.212501
-19.58067,1000,292.230145
-68.64068,1000,292.230198
-64.51574,1000,292.230217
-32.03905,1000,292.23023
17.885859,1000,312.482138
-31.952734,1000,312.482191
-17.85744,1000,312.482208
-27.835306,1000,312.482221
-60.395767,1000,333.448443
-31.408194,1000,333.448514
-27.835255,1000,333.448532
-61.40324,1000,333.448559
39.194504,1000,353.622683
-33.098824,1000,353.622733
-24.460318,1000,353.62275
19.231441,1000,353.622763
-51.139954,1000,374.287436
-30.091457,1000,374.287494
-41.176483,1000,374.287512
-26.470867,1000,374.287524
-50.16599,1000,394.300744
54.717712,1000,394.300798
-26.174763,1000,394.300815
-67.50862,1000,394.300828
-28.571611,1000,414.920471
-28.327621,1000,414.920517
-12.892186,1000,414.920533
-35.811005,1000,414.920546
-57.85421,1000,436.217686
41.819126,1000,436.217738
-30.921244,1000,436.217755
-38.405933,1000,436.217767
-12.225875,1000,456.361141
-43.82018,1000,456.361197
-51.139977,1000,456.361217
-36.619804,1000,456.36123
1.1233991,1000,477.659319
-16.666346,1000,477.659374
-45.783146,1000,477.659393
-63.369656,1000,477.659406
-35.48409,1000,497.877435
-48.904896,1000,497.87748
-4.7616854,1000,497.877496
-46.619217,1000,497.877509
-38.775455,1000,518.406249
6.618434,1000,518.40631
-9.448344,1000,518.406328
-54.692394,1000,518.406341
153.4212,1000,535.404842
87.07619,1000,535.404893
207.4307,1000,535.40491
209.02795,1000,535.404923
211.03186,1000,552.372339
92.43031,1000,552.372392
254.6297,1000,552.37241
53.596176,1000,552.372484
-43.03796,1000,574.235932
-26.045286,1000,574.235984
54.640335,1000,574.236002
-5.262585,1000,574.236015
-44.852863,1000,594.931592
-58.646404,1000,594.931638
-15.194108,1000,594.931654
56.584892,1000,594.931666
189.19843,1000,617.659327
45.908585,1000,617.659388
-27.00702,1000,617.659405
237.97752,1000,617.659418
35.136208,1000,637.776476
62.07022,1000,637.776523
168.45677,1000,637.776539
212.7129,1000,637.776551
-1.0593147,1000,657.912535
124.558525,1000,657.912581
291.66324,1000,657.912599
-40.76646,1000,657.912612
54.071053,1000,677.585644
122.94935,1000,677.585689
-33.554596,1000,677.585705
-50.381565,1000,677.585718
350.32904,1000,697.581691
74.60356,1000,697.581746
244.20074,1000,697.581763
-5.5937357,1000,697.581775
36.520126,1000,719.027979
68.83225,1000,719.028029
343.29532,1000,719.028046
331.8151,1000,719.028059
-33.110146,1000,738.365153
193.72539,1000,738.365197
-37.72872,1000,738.365213
62.070244,1000,738.365226
412.57468,1000,759.567561
34.42737,1000,759.56761
290.67822,1000,759.567627
-19.297928,1000,759.56764
327.00473,1000,779.579501
361.01505,1000,779.579607
314.2834,1000,779.579632
-25.650225,1000,779.579645
364.16003,1000,799.696221
408.64755,1000,799.696262
215.10982,1000,799.696278
405.22327,1000,799.69629
14.198496,1000,821.364712
9.091801,1000,821.364755
330.67578,1000,821.36477
191.1737,1000,821.364783
466.77078,1000,841.185995
190.53723,1000,841.186049
221.42508,1000,841.186066
325.0832,1000,841.186079
98.79327,1000,862.039768
389.9293,1000,862.039812
9.891018,1000,862.039828
-77.12362,1000,862.03984
274.5542,1000,881.898323
105.296906,1000,881.89838
101.317955,1000,881.898398
237.88052,1000,881.898411
-34.375233,1000,901.740926
358.9019,1000,901.740971
254.83472,1000,901.740987
439.67978,1000,901.741
326.22617,1000,921.020772
319.35187,1000,921.020812
101.2966,1000,921.020828
380.5166,1000,921.020841
401.65747,1000,940.946446
439.74588,1000,940.946512
456.571,1000,940.94653
335.3282,1000,940.946543
255.82523,1000,961.92002
304.49072,1000,961.920078
345.9893,1000,961.920095
7.5706334,1000,961.920109
332.7253,1000,982.050134
339.9969,1000,982.050178
507.00037,1000,982.050194
340.72568,1000,982.050206
2.190474,1000,1002.309956
281.86423,1000,1002.310016
375.72647,1000,1002.310035
539.85925,1000,1002.31005
226.31161,1000,1022.571553
261.6993,1000,1022.571615
520.45917,1000,1022.571631
529.88965,1000,1022.571644
55.8948,1000,1042.368235
178.12054,1000,1042.368291
476.2666,1000,1042.368308
479.30634,1000,1042.368321
596.24835,1000,1064.184411
252.74796,1000,1064.184467
473.61688,1000,1064.184485
384.3707,1000,1064.184498
280.4663,1000,1081.85329
216.89642,1000,1081.853429
528.9776,1000,1081.853473
619.8446,1000,1081.853499
8.272697,227,1087.788863
3.0553207,216,1092.922531
391.9068,1000,1101.890826
435.94272,1000,1101.890868
239.34503,1000,1101.890884
312.96432,1000,1111.403231
10.204994,1000,1119.940238
808.20245,1000,1119.940278
709.3579,1000,1119.940295
157.03763,1000,1128.803457
280.6183,1000,1137.105225
161.82648,1000,1137.105263
555.4073,1000,1137.105278
767.47766,1000,1146.476439
656.5791,1000,1155.298328
707.97437,1000,1155.298367
885.6711,1000,1155.298383
203.22205,1000,1165.322704
344.43973,1000,1173.984818
762.8822,1000,1173.984858
313.9035,1000,1173.984874
770.5064,1000,1183.154279
795.3143,1000,1191.60721
45.21589,1000,1191.607252
487.49527,1000,1191.607268
424.78842,1000,1200.423266
173.92279,1000,1208.860841
541.3159,1000,1208.86088
253.6076,1000,1208.860896
348.1559,1000,1217.944565
216.72168,1000,1226.196399
493.33017,1000,1226.196439
579.4523,1000,1226.196455
762.0716,1000,1235.479976
490.20953,1000,1244.043041
841.37976,1000,1244.043088
271.42426,1000,1244.043104
246.2847,1000,1253.042584
840.5635,1000,1261.451239
733.87854,1000,1261.451284
326.51828,1000,1261.451301
671.81476,1000,1271.59957
653.3325,1000,1280.903525
358.61606,1000,1280.903568
262.0645,1000,1280.903584
488.68048,1000,1290.74287
278.45767,1000,1299.699956
245.45506,1000,1299.699999
