#{"t_start": 1770578320.2685711, "env_id": "None"}
r,l,t
-51.49224,1000,18.115159
-55.016872,1000,18.115232
-52.205494,1000,18.115263
-55.631027,1000,18.115286
-51.851482,1000,35.727837
-57.37658,1000,35.727902
-52.554466,1000,35.72793
-52.38064,1000,35.727952
-50.165718,1000,53.313241
-60.525856,1000,53.313312
-50.330803,1000,53.313341
-43.181576,1000,53.313365
-48.4533,1000,68.737932
-48.805183,1000,68.738001
-50.529747,1000,68.738029
-53.404602,1000,68.738059
-41.58069,1000,86.962592
-36.758965,1000,86.962673
-39.59731,1000,86.962702
-36.395756,1000,86.962725
-56.953434,1000,102.701743
-30.894424,1000,102.70181
-55.4891,1000,102.701838
-43.66181,1000,102.70186
-25.566586,1000,119.828573
-23.664312,1000,119.828637
-30.50211,1000,119.832628
-35.0182,1000,119.832669
-67.212654,1000,135.225254
-32.20356,1000,135.225293
-32.835957,1000,135.225308
-43.113644,1000,135.225321
-27.272924,1000,152.82248
-55.931988,1000,152.822541
-26.573612,1000,152.822567
-30.070068,1000,152.822583
-56.080772,1000,169.270226
-36.908558,1000,169.270265
-20.000128,1000,169.270281
-49.090702,1000,169.270294
-49.99988,1000,188.189481
-51.12758,1000,188.189524
1.9608213,1000,188.18954
-31.174137,1000,188.189552
-51.2191,1000,205.004457
-31.81831,1000,205.004498
-52.681168,1000,205.004514
-36.454853,1000,205.004527
-40.652794,1000,222.294765
-47.04033,1000,222.294805
-56.52133,1000,222.294821
-14.498191,1000,222.294833
-29.292957,1000,236.932806
-45.859753,1000,236.932845
-61.267235,1000,236.932861
-50.570263,1000,236.932873
-55.555256,1000,253.442008
-40.074913,1000,253.442048
-64.911865,1000,253.442064
-45.20527,1000,253.442076
-28.571692,1000,267.800155
-36.507935,1000,267.800196
-66.66628,1000,267.80021
-68.1974,1000,267.800222
-62.962597,1000,284.320032
-75.86153,1000,284.320072
-56.363453,1000,284.320087
15.241341,1000,284.3201
-13.386109,1000,299.458215
-55.413715,1000,299.458254
-54.225136,1000,299.45827
-62.382042,1000,299.458282
-65.98595,1000,316.924445
-42.424137,1000,316.92449
-55.271275,1000,316.924506
-34.375065,1000,316.924518
-56.37554,1000,331.541491
-62.144714,1000,331.541538
-35.897446,1000,331.541554
-51.889927,1000,331.541566
-69.418465,1000,348.193278
-65.51679,1000,348.193319
-69.282776,1000,348.193335
-60.992596,1000,348.193347
-36.908592,1000,364.130123
-35.484062,1000,364.130163
-31.818283,1000,364.130178
-35.779953,1000,364.13019
-31.271711,1000,381.767567
-9.091107,1000,381.76761
-21.768911,1000,381.767626
-31.740839,1000,381.767639
-46.236565,1000,397.785834
-46.996456,1000,397.785877
-38.080456,1000,397.785893
-39.06825,1000,397.785905
-36.877197,1000,416.945609
-65.189476,1000,416.945649
2.272418,1000,416.945664
-68.30946,1000,416.945677
-39.1027,1000,431.923911
-52.076595,1000,431.923948
-34.708138,1000,431.923963
-35.89766,1000,431.923975
-3.5717285,1000,448.398391
-73.06345,1000,448.398432
-67.532,1000,448.398447
-38.110897,1000,448.398459
59.260056,1000,463.628749
-23.54764,1000,463.628789
-57.692104,1000,463.628804
65.46846,1000,463.628816
47.859978,1000,481.473321
-49.68546,1000,481.473362
-6.137371,1000,481.473378
-40.43882,1000,481.47339
67.939674,1000,496.155082
-65.62464,1000,496.155121
65.19246,1000,496.155136
109.5598,1000,496.155148
-58.187954,1000,512.753005
-21.986092,1000,512.753044
-36.70905,1000,512.75306
-5.0633826,1000,512.753072
22.744017,1000,527.674388
78.32281,1000,527.674427
-48.948914,1000,527.674443
-38.35633,1000,527.674456
27.795948,1000,544.297116
98.71861,1000,544.297156
-4.9292526,1000,544.297172
-22.818663,1000,544.297184
12.676907,1000,559.740774
-19.413527,1000,559.740815
-51.04855,1000,559.740831
39.24154,1000,559.740844
116.028854,1000,578.707649
74.34289,1000,578.707689
176.9217,1000,578.707705
44.367348,1000,578.707718
100.68152,1000,593.954931
152.49153,1000,593.954988
111.72752,1000,593.955003
28.115,1000,593.955015
124.83311,1000,611.211034
-19.860495,1000,611.211076
135.95534,1000,611.211093
123.82791,1000,611.211106
-32.432323,1000,626.51589
20.48301,1000,626.515972
79.055214,1000,626.515994
20.482052,1000,626.516008
150.88303,1000,644.354745
-56.080677,1000,644.354788
153.42441,1000,644.354804
40.894196,1000,644.354817
170.00006,1000,659.849314
91.92047,1000,659.849359
44.367477,1000,659.849375
44.579628,1000,659.849388
162.65868,1000,678.935375
202.81558,1000,678.935421
22.677456,1000,678.935437
292.02368,1000,678.935449
177.96364,1000,694.839818
213.06796,1000,694.839857
315.58228,1000,694.839872
80.64627,1000,694.839885
62.252945,1000,711.802209
245.51366,1000,711.802258
38.984436,1000,711.802274
255.39873,1000,711.802287
287.32083,1000,733.456762
306.93784,1000,733.456805
325.167,1000,733.456821
30.00116,1000,733.456833
54.930847,1000,753.49569
344.02695,1000,753.495733
208.82018,1000,753.49575
231.10211,1000,753.495763
272.25967,1000,777.066779
156.32614,1000,777.066832
284.6128,1000,777.066849
14.865868,1000,777.066862
297.10907,1000,795.367496
15.13166,1000,795.367538
42.858383,1000,795.367553
59.46978,1000,795.367566
347.914,1000,817.710927
164.02277,1000,817.711001
200.30614,1000,817.711025
217.7221,1000,817.71104
319.67078,1000,835.716905
50.001183,1000,835.716974
93.9788,1000,835.716995
432.3712,1000,835.71701
280.4998,1000,854.511551
74.72126,1000,854.511592
389.57922,1000,854.511608
410.86804,1000,854.51162
266.2969,1000,870.35355
262.74246,1000,870.353591
283.13824,1000,870.353607
